_date,total_views,unique_views
2025-09-08,8,4
2025-09-09,19,7
2025-09-10,25,6
2025-09-11,28,10
2025-09-12,10,3
2025-09-13,7,2
2025-09-14,3,2
2025-09-15,29,8
2025-09-16,17,6
2025-09-17,7,2
2025-09-18,30,18
2025-09-19,4,2
2025-09-20,18,4
2025-09-21,2,2
2025-09-22,53,12
2025-09-23,23,8
2025-09-24,30,9
2025-09-25,16,6
2025-09-26,28,9
2025-09-27,31,6
2025-09-28,32,7
2025-09-29,94,15
2025-09-30,125,18
2025-10-01,101,14
2025-10-02,169,29
2025-10-03,32,14
2025-10-04,5,2
2025-10-05,15,7
2025-10-06,46,14
2025-10-07,34,17
2025-10-08,24,12
2025-10-09,5,3
2025-10-10,40,10
2025-10-11,5,4
2025-10-12,18,3
2025-10-13,28,10
2025-10-14,14,6
2025-10-15,12,5
2025-10-16,16,9
2025-10-17,32,8
2025-10-18,5,2
2025-10-19,3,2
2025-10-20,23,6
2025-10-21,3,3
2025-10-22,18,6
2025-10-23,2,2
2025-10-26,1,1
2025-10-27,45,17
2025-10-28,19,8
2025-10-29,37,9
2025-10-30,16,6
2025-10-31,34,12
2025-11-01,4,4
2025-11-02,3,3
2025-11-03,18,8
2025-11-04,5,3
2025-11-05,54,13
2025-11-06,34,6
2025-11-07,16,7
2025-11-08,7,5
2025-11-09,11,4
2025-11-10,15,7
2025-11-11,11,4
2025-11-12,14,4
2025-11-13,6,4
2025-11-14,9,6
2025-11-15,1,1
2025-11-16,3,1
2025-11-17,23,7
2025-11-18,18,6
2025-11-19,1,1
2025-11-20,6,2
2025-11-21,4,3
2025-11-22,5,4
2025-11-24,12,9
2025-11-25,9,6
2025-11-26,7,6
2025-11-27,1,1
2025-11-28,3,3
2025-11-29,1,1
2025-11-30,3,3
2025-12-01,10,5
2025-12-02,10,4
2025-12-03,6,2
2025-12-04,8,4
2025-12-06,1,1
2025-12-08,4,3
2025-12-10,31,8
2025-12-12,3,2
2025-12-15,13,3
2025-12-16,6,3
2025-12-17,15,2
2025-12-18,3,3
2025-12-19,4,4
2025-12-21,7,3
2025-12-22,16,4
2025-12-23,18,4
2025-12-25,1,1
2025-12-26,6,1
2025-12-27,2,2
2025-12-28,1,1
2025-12-24,0,0
2025-12-29,20,5
2025-12-30,1,1
2025-12-31,1,1
2026-01-01,3,3
2026-01-02,2,2
2026-01-03,8,3
2026-01-04,0,0
2026-01-05,14,6
2026-01-06,0,0
2026-01-07,8,3
2026-01-08,3,2
2026-01-09,5,4
2026-01-10,1,1
2026-01-11,1,1
2026-01-12,7,4
2026-01-13,5,5
2026-01-14,5,4
2026-01-15,0,0
2026-01-16,78,4
2026-01-17,0,0
2026-01-18,1,1
2026-01-19,2,1
2026-01-20,8,4
2026-01-21,8,4
2026-01-22,6,2
2026-01-23,2,1
2026-01-24,1,1
2026-01-25,4,2
2026-01-26,2,2
2026-01-27,10,9
2026-01-28,9,3
2026-01-29,1,1
2026-01-30,4,2
2026-01-31,10,1
2026-02-01,0,0
2026-02-02,9,3
2026-02-03,1,1
2026-02-04,6,4
2026-02-05,48,9
2026-02-06,7,5
2026-02-07,1,1
2026-02-08,1,1
2026-02-09,4,3
2026-02-10,16,5
2026-02-11,9,3
2026-02-12,2,2
2026-02-13,3,2
2026-02-14,1,1
